clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,9.224474496594272
1121,Calculo y geometria analitica,12,1,8.423962138706125
1123,Quimica,10,1,9.808681657335667
1130,Fundamentos de fisica,6,1,8.001137489252752
1122,Fundamentos de programacion,10,1,7.779598206107481
1220,Algebra lineal,8,2,9.085448072422219
1221,Calculo integral,8,2,8.440223142930847
1228,Mecanica,12,2,8.444999239512683
1124,Redaccion y exposicion de temas de ingenieria,6,2,6.252325168801871
1227,Estructura de datos y algoritmos I,10,2,6.986546726319891
1436,Probabilidad,8,3,6.725772160653318
1321,Calculo vectorial,8,3,8.71672548086469
1325,Ecuaciones diferenciales,8,3,7.428960266809768
1222,Cultura y comunicacion,2,3,9.808530488802663
1317,Estructura de datos y algoritmos II,10,3,8.870419320058678
1323,Programacion orientada a objetos,10,3,8.728913374286842
1445,Fundamentos de estadistica,8,4,6.631570604201828
1414,Electricidad y magnetismo,10,4,7.06172232098068
1433,Analisis numerico,8,4,9.95997337840877
1424,Matematicas avanzadas,8,4,9.907170147047255
0119,Estructuras discretas,8,4,9.190125374913542
1503,Estructura y programacion de computadoras,8,5,8.089745635328017
0138,Dispositivos electronicos,10,5,6.036390726109905
0442,Lenguajes formales y automatas,8,5,8.958616454426963
1473,Señales y sistemas,8,5,8.253813021224055
1531,Ingenieria de software,8,5,7.97828792672288
0840,Sistemas operativos,8,6,9.703847949751761
1644,Bases de datos,14,6,6.805218892966995
1562,Circuitos electronicos,8,6,8.87231965706506
1643,Administracion de proyectos de software,8,6,6.913423242571799
1645,Disenio digital y moderno,10,6,8.807571727250775
