clave,nombre,creditos,semestre,calificacion
1120,Algebra,8,1,7.932966531603882
1121,Calculo y geometria analitica,12,1,7.999206157685741
1123,Quimica,10,1,9.673495528893746
1130,Fundamentos de fisica,6,1,9.5189593419878
1122,Fundamentos de programacion,10,1,8.067968111729733
1220,Algebra lineal,8,2,7.406939197127584
1228,Mecanica,12,2,9.939579830487084
1124,Redaccion y exposicion de temas de ingenieria,6,2,9.874470380867308
1227,Estructura de datos y algoritmos I,10,2,8.741115381845292
1221,Calculo integral,8,2,8.29471542459165
1436,Probabilidad,8,3,7.11863513427281
1321,Calculo vectorial,8,3,7.949982313802302
1325,Ecuaciones diferenciales,8,3,7.448364208837042
1222,Cultura y comunicacion,2,3,9.739401562211738
1317,Estructura de datos y algoritmos II,10,3,9.131147825967389
1323,Programacion orientada a objetos,10,3,9.176356284276785
1445,Fundamentos de estadistica,8,4,6.454975543510992
1414,Electricidad y magnetismo,10,4,7.663635410873724
1433,Analisis numerico,8,4,7.964020621737924
1424,Matematicas avanzadas,8,4,7.007560979147009
0119,Estructuras discretas,8,4,7.068800801503301
1503,Estructura y programacion de computadoras,8,5,7.892976192761555
0138,Dispositivos electronicos,10,5,9.725339502283955
0442,Lenguajes formales y automatas,8,5,9.62412589889161
1473,Señales y sistemas,8,5,7.093015541950054
1531,Ingenieria de software,8,5,8.439773229074927
0840,Sistemas operativos,8,6,9.905015632133987
1645,Disenio digital y moderno,10,6,8.294526771778749
1644,Bases de datos,14,6,8.668382657428452
1562,Circuitos electronicos,8,6,9.884969699338706
1643,Administracion de proyectos de software,8,6,9.631464258480825
1537,Finanzas en la ingenieria en computacion,6,7,8.173922133916738
1535,Diseño digital VLSI,8,7,9.656535006511845
0406,Inteligencia artificial,8,7,6.576713098795134
0434,Compiladores,8,7,8.71838732030601
1686,Sistemas de comunicaciones,8,7,8.729816596108895
1413,Introduccion a la economia,8,7,6.782173375808486
1000,Optativa de ciencias sociales y humanidades,6,8,7.337300603387513
1672,Microcomputadoras,8,8,6.424633568864172
1590,Computacion graficas e iteracion humano-computadora,10,8,7.519381709113605
1052,Etica profesional,6,8,6.943480639717938
1598,Redes de datos seguras,14,8,8.467644675715817
